Date,Open,High,Low,Close,Adj Close,Volume
Mar 11 2026,261.21,262.13,259.55,260.81,260.81,25826274
Mar 1 2026,262.41,266.53,253.68,260.81,260.81,305919600
Feb 9 2026,Dividend 0.26,,,,,,
Feb 1 2026,260.03,280.91,255.45,264.18,263.93,988921000
Jan 1 2026,272.26,277.84,243.42,259.48,259.24,1040017300
Dec 1 2025,278.01,288.62,266.95,271.86,271.61,924528800
Nov 10 2025,Dividend 0.26,,,,,,
Nov 1 2025,270.42,280.38,265.32,278.85,278.32,877578200
Oct 1 2025,255.04,277.32,244.00,270.37,269.86,1097142200
Sep 1 2025,229.25,257.60,225.95,254.63,254.15,1265536400
Aug 11 2025,Dividend 0.26,,,,,,
Aug 1 2025,210.87,235.12,201.50,232.14,231.44,1218079100
Jul 1 2025,206.67,216.23,206.14,207.57,206.94,1079935600
Jun 1 2025,200.28,207.39,195.07,205.17,204.55,1100409300
May 12 2025,Dividend 0.26,,,,,,
May 1 2025,209.08,214.56,193.25,200.85,199.98,1195728200
Apr 1 2025,219.81,225.19,169.21,212.50,211.58,1607318600
Mar 1 2025,241.79,244.03,208.42,222.13,221.17,1115239500
Feb 10 2025,Dividend 0.25,,,,,,
Feb 1 2025,229.99,250.00,225.70,241.84,240.53,862272300
Jan 1 2025,248.93,249.10,219.38,236.00,234.72,1200176400
Dec 1 2024,237.27,260.10,237.16,250.42,249.06,977916100
Nov 8 2024,Dividend 0.25,,,,,,
Nov 1 2024,220.97,237.81,219.71,237.33,235.78,891588300
Oct 1 2024,229.52,237.49,221.33,225.91,224.44,930736000
Sep 1 2024,228.55,233.09,213.92,233.00,231.48,1232097700
Aug 12 2024,Dividend 0.25,,,,,,
Aug 1 2024,224.37,232.92,196.00,229.00,227.24,1122667000
Jul 1 2024,212.09,237.23,211.92,222.08,220.38,1153099800
Jun 1 2024,192.90,220.20,192.15,210.62,209.00,1717952100
May 10 2024,Dividend 0.25,,,,,,
May 1 2024,169.58,193.00,169.11,192.25,190.52,1336511300
Apr 1 2024,171.19,178.36,164.08,170.33,168.79,1246144100
Mar 1 2024,179.55,180.53,168.49,171.48,169.93,1433151800
Feb 9 2024,Dividend 0.24,,,,,,
Feb 1 2024,183.99,191.05,179.25,180.75,178.89,1161553500
Jan 1 2024,187.15,196.38,180.17,184.40,182.50,1187490800
Dec 1 2023,190.33,199.62,187.45,192.53,190.55,1063181200
Nov 10 2023,Dividend 0.24,,,,,,
Nov 1 2023,171.00,192.93,170.12,189.95,187.75,1099651600
Oct 1 2023,171.22,182.34,165.67,170.77,168.79,1172816900
Sep 1 2023,189.49,189.98,167.62,171.21,169.23,1337823000
Aug 11 2023,Dividend 0.24,,,,,,
Aug 1 2023,196.24,196.73,171.96,187.87,185.44,1322657800
Jul 1 2023,193.78,198.23,186.60,196.45,193.91,996114000
Jun 1 2023,177.70,194.48,176.93,193.97,191.46,1297383300
May 12 2023,Dividend 0.24,,,,,,
May 1 2023,169.28,179.35,164.31,177.25,174.72,1275364700
Apr 1 2023,164.27,169.85,159.78,169.68,167.26,969776400
Mar 1 2023,146.83,165.00,143.90,164.90,162.55,1520266600
Feb 10 2023,Dividend 0.23,,,,,,
Feb 1 2023,143.97,157.38,141.32,147.41,145.08,1307198900
Jan 1 2023,130.28,147.23,124.17,144.29,142.01,1443652500
Dec 1 2022,148.21,150.92,125.87,129.93,127.88,1675731200
Nov 4 2022,Dividend 0.23,,,,,,
Nov 1 2022,155.08,155.45,134.38,148.03,145.45,1724847700
Oct 1 2022,138.21,157.50,134.37,153.34,150.67,1868139700
Sep 1 2022,156.64,164.26,138.00,138.20,135.79,2084722800
Aug 5 2022,Dividend 0.23,,,,,,
Aug 1 2022,161.01,176.15,157.14,157.22,154.27,1510239600
Jul 1 2022,136.04,163.63,135.66,162.51,159.46,1447125400
Jun 1 2022,149.90,151.74,129.04,136.72,134.15,1749099800
May 6 2022,Dividend 0.23,,,,,,
May 1 2022,156.71,166.48,132.61,148.84,145.83,2401040300
Apr 1 2022,174.03,178.49,155.38,157.65,154.46,1687795600
Mar 1 2022,164.70,179.61,150.10,174.61,171.08,2180800100
Feb 4 2022,Dividend 0.22,,,,,,
Feb 1 2022,174.01,176.65,152.00,165.12,161.58,1627516300
Jan 1 2022,177.83,182.94,154.70,174.78,171.03,2108446000
Dec 1 2021,167.48,182.13,157.80,177.57,173.76,2444766700
Nov 5 2021,Dividend 0.22,,,,,,
Nov 1 2021,148.99,165.70,147.48,165.30,161.52,1691029000
Oct 1 2021,141.90,153.17,138.27,149.80,146.37,1565079200
Sep 1 2021,152.83,157.26,141.27,141.50,138.26,1797835100
Aug 6 2021,Dividend 0.22,,,,,,
Aug 1 2021,146.36,153.49,144.50,151.83,148.13,1461542800
Jul 1 2021,136.60,150.00,135.76,145.86,142.31,1919035100
Jun 1 2021,125.08,137.41,123.13,136.96,133.63,1606590000
May 7 2021,Dividend 0.22,,,,,,
May 1 2021,132.04,134.07,122.25,124.61,121.37,1711934900
Apr 1 2021,123.66,137.07,122.49,131.46,128.04,1889857500
Mar 1 2021,123.75,128.72,116.21,122.15,118.97,2650418200
Feb 5 2021,Dividend 0.205,,,,,,
Feb 1 2021,133.75,137.88,118.39,121.26,117.93,1833855600
