Date,Open,High,Low,Close,Adj Close,Volume
Mar 11 2026,6790.09,6811.15,6745.59,6775.80,6775.80,2979127000
Mar 1 2026,6824.36,6901.01,6636.04,6775.80,6775.80,47721200000
Feb 1 2026,6916.64,6993.48,6775.50,6878.88,6878.88,113685560000
Jan 1 2026,6878.11,7002.28,6789.05,6939.03,6939.03,108456600000
Dec 1 2025,6812.30,6945.77,6720.43,6845.50,6845.50,99928890000
Nov 1 2025,6882.32,6882.32,6521.92,6849.09,6849.09,100880170000
Oct 1 2025,6664.92,6920.34,6550.78,6840.20,6840.20,129661660000
Sep 1 2025,6401.51,6699.52,6360.58,6688.46,6688.46,114074610000
Aug 1 2025,6287.28,6508.23,6212.69,6460.26,6460.26,99352030000
Jul 1 2025,6187.25,6427.02,6177.97,6339.39,6339.39,114004890000
Jun 1 2025,5896.68,6215.08,5861.43,6204.95,6204.95,106456300000
May 1 2025,5625.14,5968.61,5578.64,5911.69,5911.69,105346260000
Apr 1 2025,5597.53,5695.31,4835.04,5569.06,5569.06,118936380000
Mar 1 2025,5968.33,5986.09,5488.73,5611.85,5611.85,111387270000
Feb 1 2025,5969.65,6147.43,5837.66,5954.50,5954.50,92317000000
Jan 1 2025,5903.26,6128.18,5773.31,6040.53,6040.53,88639380000
Dec 1 2024,6040.11,6099.97,5832.30,5881.63,5881.63,86064900000
Nov 1 2024,5723.22,6044.17,5696.51,6032.38,6032.38,84101980000
Oct 1 2024,5757.73,5878.46,5674.00,5705.45,5705.45,82412430000
Sep 1 2024,5623.89,5767.37,5402.62,5762.48,5762.48,79564830000
Aug 1 2024,5537.84,5651.62,5119.26,5648.40,5648.40,81097300000
Jul 1 2024,5471.08,5669.67,5390.95,5522.30,5522.30,80160390000
Jun 1 2024,5297.15,5523.64,5234.32,5460.48,5460.48,76025620000
May 1 2024,5029.03,5341.88,5011.05,5277.51,5277.51,86849720000
Apr 1 2024,5257.97,5263.95,4953.56,5035.69,5035.69,81747170000
Mar 1 2024,5098.51,5264.85,5056.82,5254.35,5254.35,86299510000
Feb 1 2024,4861.11,5111.06,4853.52,5096.27,5096.27,82066930000
Jan 1 2024,4745.20,4931.09,4682.11,4845.65,4845.65,81737880000
Dec 1 2023,4559.43,4793.30,4546.50,4769.83,4769.83,81530670000
Nov 1 2023,4201.27,4587.64,4197.74,4567.80,4567.80,80970570000
Oct 1 2023,4284.52,4393.57,4103.78,4193.80,4193.80,83519460000
Sep 1 2023,4530.60,4541.25,4238.63,4288.05,4288.05,73482980000
Aug 1 2023,4578.83,4584.62,4335.31,4507.66,4507.66,86840820000
Jul 1 2023,4450.48,4607.07,4385.05,4588.96,4588.96,75063200000
Jun 1 2023,4183.03,4458.48,4171.64,4450.38,4450.38,87983140000
May 1 2023,4166.79,4231.10,4048.28,4179.83,4179.83,85190040000
Apr 1 2023,4102.20,4170.06,4049.35,4169.48,4169.48,70861260000
Mar 1 2023,3963.34,4110.75,3808.86,4109.31,4109.31,113094800000
Feb 1 2023,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000
Jan 1 2023,3853.29,4094.21,3794.33,4076.60,4076.60,80763810000
Dec 1 2022,4087.14,4100.96,3764.49,3839.50,3839.50,85249330000
Nov 1 2022,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000
Oct 1 2022,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000
Sep 1 2022,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000
Aug 1 2022,4112.38,4325.28,3954.53,3955.00,3955.00,92252350000
Jul 1 2022,3781.00,4140.15,3721.56,4130.29,4130.29,81688320000
Jun 1 2022,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000
May 1 2022,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000
Apr 1 2022,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000
Mar 1 2022,4363.14,4637.30,4157.87,4530.41,4530.41,123546260000
Feb 1 2022,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000
Jan 1 2022,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000
Dec 1 2021,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000
Nov 1 2021,4610.62,4743.83,4560.00,4567.00,4567.00,88268840000
Oct 1 2021,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000
Sep 1 2021,4528.80,4545.85,4305.91,4307.54,4307.54,85528860000
Aug 1 2021,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000
Jul 1 2021,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000
Jun 1 2021,4216.52,4302.43,4164.40,4297.50,4297.50,102544180000
May 1 2021,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000
Apr 1 2021,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000
Mar 1 2021,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000
Feb 1 2021,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000
