Date,Open,High,Low,Close,Adj Close,Volume
Mar 1 2026,636.39,636.39,623.44,626.90,626.90,-
Feb 1 2026,644.46,644.46,628.03,636.09,636.09,-
Jan 1 2026,633.18,644.58,627.72,640.98,640.98,-
Dec 22 2025,Distribution 1.77,,,,,-
Dec 1 2025,629.95,639.70,621.94,631.84,630.07,-
Nov 1 2025,632.84,633.24,604.43,633.24,631.47,-
Oct 1 2025,619.41,636.35,604.98,631.72,629.95,-
Sep 29 2025,Distribution 1.738,,,,,-
Sep 1 2025,593.23,619.43,593.23,617.29,613.82,-
Aug 1 2025,576.06,601.05,576.06,597.25,593.89,-
Jul 1 2025,571.96,590.00,574.61,585.39,582.10,-
Jun 30 2025,Distribution 1.744,,,,,-
Jun 1 2025,548.86,0.00,0.00,572.58,567.63,-
May 1 2025,517.45,0.00,0.00,546.55,541.82,-
Apr 1 2025,519.70,523.21,459.80,514.20,509.75,-
Mar 27 2025,Distribution 1.812,,,,,-
Mar 1 2025,540.91,540.91,510.83,517.73,511.49,-
Feb 1 2025,553.64,567.88,541.89,550.55,543.92,-
Jan 1 2025,541.57,564.97,537.94,557.85,551.13,-
Dec 23 2024,Distribution 1.739,,,,,-
Dec 1 2024,559.22,563.32,542.76,542.76,534.52,-
Nov 1 2024,529.06,557.79,527.60,557.79,549.32,-
Oct 1 2024,526.77,541.49,525.73,526.88,518.88,-
Sep 27 2024,Distribution 1.639,,,,,-
Sep 1 2024,511.23,531.71,500.19,531.71,522.02,-
Aug 1 2024,502.91,522.23,478.90,522.23,512.72,-
Jul 1 2024,505.12,523.10,498.43,509.88,500.59,-
Jun 28 2024,Distribution 1.784,,,,,-
Jun 1 2024,488.65,507.88,488.65,503.76,492.84,-
May 1 2024,463.42,491.98,463.42,488.05,477.48,-
Apr 1 2024,483.86,483.86,458.63,465.01,454.93,-
Mar 22 2024,Distribution 1.543,,,,,-
Mar 1 2024,475.03,485.10,469.66,484.83,472.82,-
Feb 1 2024,452.97,471.23,452.97,471.23,459.55,-
Jan 1 2024,437.51,454.91,432.59,447.36,436.27,-
Dec 19 2023,Distribution 1.806,,,,,-
Dec 1 2023,425.13,441.21,420.97,439.99,427.32,-
Nov 1 2023,391.33,422.61,391.33,422.61,410.44,-
Oct 1 2023,395.62,403.98,380.14,387.26,376.11,-
Sep 27 2023,Distribution 1.494,,,,,-
Sep 1 2023,417.75,417.75,394.28,395.59,382.75,-
Aug 1 2023,422.61,422.61,403.95,416.98,403.45,-
Jul 1 2023,411.06,423.73,405.98,423.73,409.98,-
Jun 28 2023,Distribution 1.578,,,,,-
Jun 1 2023,390.51,410.56,390.51,410.56,395.69,-
May 1 2023,384.81,388.93,375.02,386.63,372.62,-
Apr 1 2023,380.47,384.97,374.44,384.97,371.02,-
Mar 23 2023,Distribution 1.489,,,,,-
Mar 1 2023,365.44,379.07,356.71,379.07,363.85,-
Feb 1 2023,380.28,385.89,367.06,367.15,352.40,-
Jan 1 2023,352.71,376.35,351.30,376.35,361.24,-
Dec 19 2022,Distribution 1.677,,,,,-
Dec 1 2022,377.30,377.30,348.86,354.11,338.29,-
Nov 1 2022,356.13,377.57,343.60,377.57,360.70,-
Oct 1 2022,339.40,360.27,330.20,357.60,341.63,-
Sep 27 2022,Distribution 1.471,,,,,-
Sep 1 2022,367.16,380.58,330.83,330.83,314.68,-
Aug 1 2022,380.50,398.06,366.00,366.00,348.13,-
Jul 1 2022,353.06,381.57,350.03,381.57,362.94,-
Jun 28 2022,Distribution 1.433,,,,,-
Jun 1 2022,379.54,386.60,339.65,349.37,330.99,-
May 1 2022,383.84,397.22,360.79,382.36,362.25,-
Apr 1 2022,419.58,422.98,381.68,381.68,361.61,-
Mar 23 2022,Distribution 1.372,,,,,-
Mar 1 2022,398.31,427.42,385.86,418.16,394.87,-
Feb 1 2022,419.92,423.88,390.71,404.56,382.02,-
Jan 1 2022,442.63,442.63,399.54,417.05,393.82,-
Dec 20 2021,Distribution 1.535,,,,,-
Dec 1 2021,417.55,442.25,417.55,439.83,413.84,-
Nov 1 2021,426.24,435.07,422.51,422.51,397.54,-
Oct 1 2021,402.20,425.48,397.00,425.48,400.34,-
Sep 28 2021,Distribution 1.307,,,,,-
Sep 1 2021,418.56,419.81,397.63,397.63,372.94,-
Aug 1 2021,405.32,418.92,405.32,418.40,392.42,-
Jul 1 2021,398.76,408.48,393.30,406.07,380.86,-
Jun 28 2021,Distribution 1.333,,,,,-
Jun 1 2021,388.75,396.66,385.76,396.66,370.78,-
May 1 2021,387.31,391.13,375.52,388.93,363.56,-
Apr 1 2021,371.03,389.02,371.03,386.25,361.05,-
Mar 25 2021,Distribution 1.262,,,,,-
Mar 1 2021,360.94,367.93,348.69,366.69,341.57,-
Feb 1 2021,348.66,363.71,348.66,352.54,328.39,-
